7 86
4 7 -1970380839
4 5 -1970380839
3 5 -1970380839
6 5 -1970380839
2 4 -1970380839
4 2 -1970380839
6 1 -1970380839
7 1 -1970380839
1 7 -1970380839
4 4 -1970380839
1 4 -1970380839
2 1 -1970380839
7 6 -1970380839
1 6 -1970380839
7 2 -1970380839
3 5 -1970380839
6 7 -1970380839
7 1 -1970380839
4 5 -1970380839
6 5 -1970380839
6 7 -1970380839
5 5 -1970380839
7 4 -1970380839
5 6 -1970380839
1 6 -1970380839
2 1 -1970380839
3 2 -1970380839
2 7 -1970380839
7 7 -1970380839
3 5 -1970380839
1 6 -1970380839
7 6 -1970380839
3 7 -1970380839
4 6 -1175016039
1 1 -1175016039
7 5 -1175016039
5 4 -1175016039
6 7 -1175016039
2 7 -1175016039
6 2 -1175016039
5 6 -1175016039
3 4 -1175016039
3 2 -1175016039
3 5 -1175016039
6 1 -1175016039
3 4 -1175016039
4 3 -1175016039
3 1 -1175016039
1 2 -1175016039
7 7 -1175016039
2 6 -1175016039
2 4 -1175016039
3 1 -1175016039
4 2 -1175016039
5 7 -1175016039
3 2 -1175016039
5 3 -1175016039
6 7 -1175016039
5 6 -1175016039
2 1 -1175016039
7 3 -1175016039
4 1 -1175016039
5 4 -1175016039
1 4 -1175016039
6 6 -1175016039
3 5 -1175016039
4 4 399057343
2 3 399057343
6 6 399057343
7 6 399057343
6 4 399057343
2 4 399057343
1 4 399057343
7 2 399057343
2 4 399057343
4 4 399057343
5 7 399057343
5 3 399057343
3 3 399057343
1 5 399057343
6 3 399057343
6 5 399057343
6 1 399057343
5 2 399057343
4 4 399057343
6 2 399057343
35 99
15 3 -981613244
25 6 -981613244
24 22 -981613244
5 1 -981613244
2 21 -981613244
29 16 -981613244
2 4 -981613244
32 28 -981613244
27 1 -981613244
7 17 -981613244
35 18 -981613244
25 31 -981613244
3 6 -981613244
14 6 -981613244
15 5 -981613244
8 5 -981613244
12 32 -981613244
10 12 -981613244
31 26 -981613244
24 32 -981613244
11 30 -981613244
24 12 -981613244
33 33 -981613244
4 2 -981613244
10 23 -981613244
30 21 -981613244
17 20 -981613244
17 19 -981613244
2 7 -981613244
1 17 -981613244
24 20 -981613244
21 12 -981613244
29 7 -981613244
23 24 -930096086
32 7 -930096086
18 32 -930096086
30 27 -930096086
6 10 -930096086
28 15 -930096086
9 23 -930096086
13 25 -930096086
19 6 -930096086
21 20 -930096086
12 21 -930096086
1 12 -930096086
6 33 -930096086
23 11 -930096086
4 23 -930096086
11 12 -930096086
11 7 -930096086
30 5 -930096086
15 24 -930096086
8 21 -930096086
34 1 -930096086
12 7 -930096086
35 24 -930096086
9 18 -930096086
29 6 -930096086
14 18 -930096086
26 27 -930096086
29 8 -930096086
24 17 -930096086
30 5 -930096086
4 5 -930096086
16 26 -930096086
11 11 -930096086
7 3 1491789108
23 9 1491789108
14 34 1491789108
28 25 1491789108
35 1 1491789108
19 28 1491789108
18 33 1491789108
22 20 1491789108
24 16 1491789108
5 24 1491789108
9 34 1491789108
28 24 1491789108
4 9 1491789108
14 14 1491789108
19 20 1491789108
28 29 1491789108
33 15 1491789108
15 24 1491789108
26 7 1491789108
25 2 1491789108
19 9 1491789108
29 1 1491789108
18 28 1491789108
20 18 1491789108
8 24 1491789108
6 16 1491789108
23 11 1491789108
4 26 1491789108
19 29 1491789108
16 14 1491789108
25 9 1491789108
19 34 1491789108
35 33 1491789108
44 17
42 34 1788844466
17 11 1788844466
34 11 1788844466
18 17 1788844466
8 43 1788844466
33 27 1788844466
36 15 1788844466
14 37 1788844466
39 8 1788844466
29 43 1788844466
9 9 1788844466
44 25 1788844466
26 38 1788844466
30 1 1788844466
28 27 1788844466
34 6 1788844466
6 27 1788844466
0 0
