13 45
3 10 -844470508
2 12 -844470508
3 13 -844470508
8 3 -844470508
3 1 -844470508
2 9 -844470508
13 4 -844470508
3 6 -844470508
10 5 -844470508
11 5 -844470508
8 2 -844470508
5 9 -844470508
11 1 -844470508
8 1 -844470508
11 12 -844470508
10 9 -844470508
7 1 -844470508
9 9 -844470508
13 4 -844470508
13 3 -844470508
4 4 -844470508
13 5 -844470508
9 2 -844470508
12 6 -844470508
8 12 -844470508
12 4 -844470508
13 4 -1359146891
4 8 -1359146891
12 4 -1359146891
7 11 -1359146891
12 13 -1359146891
13 10 -1359146891
11 12 -1359146891
13 12 -1359146891
3 5 -1359146891
2 2 -1359146891
11 13 -1359146891
5 10 -1359146891
5 1 -1359146891
10 5 -1359146891
4 9 -1359146891
8 4 -1359146891
9 1 -1359146891
12 9 -1359146891
4 5 -1359146891
5 15
5 1 -777415826
1 4 -777415826
5 1 -777415826
3 3 -777415826
1 4 -777415826
1 4 -777415826
3 4 -777415826
4 3 -777415826
2 3 -777415826
2 5 -777415826
1 5 -777415826
3 3 -777415826
5 5 -777415826
5 1 -777415826
3 4 -777415826
12 69
6 8 134996745
6 12 134996745
7 7 134996745
2 5 134996745
4 10 134996745
9 2 134996745
5 5 134996745
1 10 134996745
3 11 134996745
11 2 134996745
10 6 134996745
12 4 134996745
2 9 134996745
9 3 134996745
1 6 134996745
11 11 134996745
7 4 134996745
2 5 134996745
3 7 134996745
2 10 134996745
5 10 134996745
4 9 134996745
2 4 134996745
10 4 134996745
2 8 134996745
9 3 134996745
5 8 -1849636794
5 7 -1849636794
1 9 -1849636794
12 11 -1849636794
11 10 -1849636794
7 4 -1849636794
2 1 -1849636794
11 3 -1849636794
10 3 -1849636794
4 1 -1849636794
11 9 -1849636794
9 8 -1849636794
12 2 -1849636794
8 8 -1849636794
9 12 -1849636794
8 7 -1849636794
10 12 -1849636794
1 11 -1849636794
12 4 -1849636794
1 11 -1849636794
1 11 -1849636794
6 6 -1849636794
11 4 -1849636794
1 1 -1849636794
6 8 -1849636794
5 8 -1849636794
5 1 6432547
7 3 6432547
4 3 6432547
2 11 6432547
9 4 6432547
2 1 6432547
2 5 6432547
4 6 6432547
3 8 6432547
5 9 6432547
5 3 6432547
4 9 6432547
7 10 6432547
5 12 6432547
5 9 6432547
12 12 6432547
4 10 6432547
6 15
3 6 185565182
6 4 185565182
1 1 185565182
3 1 185565182
6 1 185565182
1 3 185565182
2 5 185565182
5 2 185565182
2 3 185565182
5 4 185565182
5 3 185565182
2 1 185565182
6 1 185565182
5 4 185565182
6 2 185565182
9 28
3 9 168682342
2 8 168682342
8 5 168682342
1 1 168682342
3 9 168682342
1 5 168682342
6 5 168682342
3 5 168682342
7 5 168682342
8 7 168682342
3 1 168682342
4 9 168682342
9 1 168682342
8 6 168682342
4 9 168682342
4 9 168682342
3 5 168682342
5 8 168682342
9 3 168682342
9 3 168682342
2 9 168682342
7 7 168682342
4 7 168682342
1 9 168682342
2 6 168682342
6 3 168682342
6 7 141152084
7 7 141152084
9 22
8 4 1247000550
3 6 1247000550
3 2 1247000550
6 4 1247000550
8 2 1247000550
9 2 1247000550
8 9 1247000550
1 8 1247000550
5 4 1247000550
1 9 1247000550
8 9 1247000550
2 6 1247000550
4 1 1247000550
3 6 1247000550
3 8 1247000550
9 7 1247000550
8 2 1247000550
2 1 1247000550
1 5 1247000550
4 8 1247000550
6 3 1247000550
8 3 1247000550
9 79
8 8 1513640631
5 3 1513640631
9 6 1513640631
4 2 1513640631
2 4 1513640631
9 9 1513640631
9 7 1513640631
1 1 1513640631
7 9 1513640631
5 9 1513640631
5 9 1513640631
2 1 1513640631
2 2 1513640631
7 9 1513640631
4 5 1513640631
5 5 1513640631
1 9 1513640631
7 8 1513640631
3 1 1513640631
9 5 1513640631
3 9 1513640631
4 2 1513640631
4 2 1513640631
9 2 1513640631
8 4 1513640631
1 4 1513640631
3 9 -230311009
8 8 -230311009
1 2 -230311009
1 5 -230311009
4 9 -230311009
2 2 -230311009
7 5 -230311009
2 6 -230311009
7 2 -230311009
3 1 -230311009
3 7 -230311009
9 9 -230311009
6 8 -230311009
4 4 -230311009
9 4 -230311009
3 1 -230311009
4 9 -230311009
7 4 -230311009
8 5 -230311009
7 3 -230311009
4 8 -230311009
4 8 -230311009
1 3 -230311009
3 7 -230311009
3 5 -230311009
7 3 -230311009
9 5 201550835
3 4 201550835
8 9 201550835
7 9 201550835
7 8 201550835
6 4 201550835
3 4 201550835
9 7 201550835
4 1 201550835
3 7 201550835
9 4 201550835
8 2 201550835
1 1 201550835
4 6 201550835
3 4 201550835
1 5 201550835
6 1 201550835
8 5 201550835
7 4 201550835
2 4 201550835
2 7 201550835
8 2 201550835
8 5 201550835
6 3 201550835
5 9 201550835
7 4 201550835
1 3 -517867427
12 26
10 2 -599633375
3 6 -599633375
2 9 -599633375
12 4 -599633375
4 11 -599633375
2 12 -599633375
2 1 -599633375
2 4 -599633375
7 3 -599633375
1 2 -599633375
11 10 -599633375
2 10 -599633375
9 5 -599633375
11 12 -599633375
11 12 -599633375
6 11 -599633375
1 8 -599633375
8 6 -599633375
5 7 -599633375
10 12 -599633375
9 3 -599633375
3 2 -599633375
3 4 -599633375
10 1 -599633375
10 10 -599633375
3 12 -599633375
9 56
3 3 -1345025818
3 1 -1345025818
1 6 -1345025818
9 8 -1345025818
3 2 -1345025818
9 9 -1345025818
2 3 -1345025818
6 7 -1345025818
2 9 -1345025818
8 6 -1345025818
2 9 -1345025818
9 1 -1345025818
6 6 -1345025818
5 7 -1345025818
8 5 -1345025818
7 1 -1345025818
9 7 -1345025818
8 7 -1345025818
1 5 -1345025818
3 4 -1345025818
4 9 -1345025818
1 5 -1345025818
3 6 -1345025818
2 2 -1345025818
4 7 -1345025818
7 5 -1345025818
7 4 1546237595
1 5 1546237595
7 6 1546237595
9 2 1546237595
4 7 1546237595
9 3 1546237595
2 7 1546237595
5 5 1546237595
1 9 1546237595
2 2 1546237595
4 2 1546237595
5 4 1546237595
3 6 1546237595
1 7 1546237595
8 5 1546237595
2 1 1546237595
5 9 1546237595
3 9 1546237595
5 1 1546237595
2 9 1546237595
7 8 1546237595
9 8 1546237595
5 4 1546237595
1 4 1546237595
3 1 1546237595
3 5 1546237595
2 7 -1283846155
4 6 -1283846155
9 9 -1283846155
2 8 -1283846155
10 58
7 1 797700150
2 3 797700150
7 4 797700150
9 2 797700150
9 2 797700150
7 8 797700150
5 10 797700150
9 9 797700150
4 4 797700150
1 1 797700150
7 1 797700150
1 6 797700150
8 2 797700150
4 6 797700150
3 2 797700150
6 3 797700150
5 7 797700150
6 3 797700150
2 6 797700150
4 1 797700150
9 3 797700150
10 4 797700150
2 8 797700150
4 7 797700150
3 4 797700150
7 9 797700150
6 8 -1337348914
1 10 -1337348914
1 3 -1337348914
1 8 -1337348914
8 7 -1337348914
7 5 -1337348914
9 10 -1337348914
2 4 -1337348914
10 2 -1337348914
6 1 -1337348914
5 10 -1337348914
10 10 -1337348914
6 2 -1337348914
3 3 -1337348914
3 9 -1337348914
2 7 -1337348914
5 2 -1337348914
6 5 -1337348914
7 8 -1337348914
5 4 -1337348914
