5 35
2 5 -38505149
5 5 -38505149
4 4 -38505149
3 4 755517727
5 3 755517727
2 5 755517727
2 4 1279446100
3 2 1279446100
4 3 1684886345
2 4 1684886345
5 5 164915020
4 5 164915020
2 1 -1739333204
4 4 -1739333204
4 2 -1739333204
3 5 884230
4 2 -1314618398
1 1 723021111
1 4 -1220416652
3 5 -1220416652
3 3 -1220416652
3 4 -1062767252
4 4 -1062767252
1 4 -1794950116
2 1 18905639
1 3 190099620
3 1 190099620
2 1 190099620
4 2 387807458
2 1 387807458
2 5 -1941586603
5 3 -1941586603
2 5 -1511487015
3 4 574712486
4 1 574712486
0 0
